TIME,GEO,AIRPOL,AIRSECT,Tonnes
1990,Germany,Non-methane_VOCs,Agriculture,279052.0
1990,Germany,Non-methane_VOCs,Waste,136.0
1990,Germany,Non-methane_VOCs,Other,0.0
1990,Germany,Particulates_lt_2.5mcg,Total_all_sectors,
1990,Germany,Particulates_lt_2.5mcg,Energy_prod_distrib,
1990,Germany,Particulates_lt_2.5mcg,Energy_use_industry,
1990,Germany,Particulates_lt_2.5mcg,Road_transport,
1990,Germany,Particulates_lt_2.5mcg,Non-road_transport,
1990,Germany,Particulates_lt_2.5mcg,Commercial_institutes_houses,
1990,Germany,Particulates_lt_2.5mcg,Industrial_processes,
1990,Germany,Particulates_lt_2.5mcg,Agriculture,
1990,Germany,Particulates_lt_2.5mcg,Waste,
1990,Germany,Particulates_lt_2.5mcg,Other,
1990,Germany,Particulates_lt_10mcg,Total_all_sectors,
1990,Germany,Particulates_lt_10mcg,Energy_prod_distrib,
1990,Germany,Particulates_lt_10mcg,Energy_use_industry,
1990,Germany,Particulates_lt_10mcg,Road_transport,
1990,Germany,Particulates_lt_10mcg,Non-road_transport,
1990,Germany,Particulates_lt_10mcg,Commercial_institutes_houses,
1990,Germany,Particulates_lt_10mcg,Industrial_processes,
1990,Germany,Particulates_lt_10mcg,Agriculture,
1990,Germany,Particulates_lt_10mcg,Waste,
1990,Germany,Particulates_lt_10mcg,Other,
1990,Germany,Sulphur_oxides,Total_all_sectors,5485830.0
1990,Germany,Sulphur_oxides,Energy_prod_distrib,3185949.0
1990,Germany,Sulphur_oxides,Energy_use_industry,906840.0
1990,Germany,Sulphur_oxides,Road_transport,90201.0
1990,Germany,Sulphur_oxides,Non-road_transport,33391.0
1990,Germany,Sulphur_oxides,Commercial_institutes_houses,1094568.0
1990,Germany,Sulphur_oxides,Industrial_processes,174862.0
1990,Germany,Sulphur_oxides,Agriculture,0.0
1990,Germany,Sulphur_oxides,Waste,19.0
1990,Germany,Sulphur_oxides,Other,0.0
1990,Germany,Nitrogen_oxides,Total_all_sectors,2888450.0
1990,Germany,Nitrogen_oxides,Energy_prod_distrib,616770.0
1990,Germany,Nitrogen_oxides,Energy_use_industry,309572.0
1990,Germany,Nitrogen_oxides,Road_transport,1342661.0
1990,Germany,Nitrogen_oxides,Non-road_transport,118171.0
1990,Germany,Nitrogen_oxides,Commercial_institutes_houses,252222.0
1990,Germany,Nitrogen_oxides,Industrial_processes,105970.0
1990,Germany,Nitrogen_oxides,Agriculture,142943.0
1990,Germany,Nitrogen_oxides,Waste,140.0
1990,Germany,Nitrogen_oxides,Other,0.0
1990,Denmark,Ammonia,Total_all_sectors,125930.0
1990,Denmark,Ammonia,Energy_prod_distrib,0.0
1990,Denmark,Ammonia,Energy_use_industry,215.0
1990,Denmark,Ammonia,Road_transport,73.0
1990,Denmark,Ammonia,Non-road_transport,1.0
1990,Denmark,Ammonia,Commercial_institutes_houses,1203.0
1990,Denmark,Ammonia,Industrial_processes,677.0
1990,Denmark,Ammonia,Agriculture,123553.0
1990,Denmark,Ammonia,Waste,207.0
1990,Denmark,Ammonia,Other,0.0
1990,Denmark,Non-methane_VOCs,Total_all_sectors,203933.0
1990,Denmark,Non-methane_VOCs,Energy_prod_distrib,12596.0
1990,Denmark,Non-methane_VOCs,Energy_use_industry,4048.0
1990,Denmark,Non-methane_VOCs,Road_transport,79251.0
1990,Denmark,Non-methane_VOCs,Non-road_transport,1478.0
1990,Denmark,Non-methane_VOCs,Commercial_institutes_houses,23710.0
1990,Denmark,Non-methane_VOCs,Industrial_processes,42432.0
1990,Denmark,Non-methane_VOCs,Agriculture,40201.0
1990,Denmark,Non-methane_VOCs,Waste,216.0
1990,Denmark,Non-methane_VOCs,Other,0.0
1990,Denmark,Particulates_lt_2.5mcg,Total_all_sectors,
1990,Denmark,Particulates_lt_2.5mcg,Energy_prod_distrib,
1990,Denmark,Particulates_lt_2.5mcg,Energy_use_industry,
1990,Denmark,Particulates_lt_2.5mcg,Road_transport,
1990,Denmark,Particulates_lt_2.5mcg,Non-road_transport,
1990,Denmark,Particulates_lt_2.5mcg,Commercial_institutes_houses,
1990,Denmark,Particulates_lt_2.5mcg,Industrial_processes,
1990,Denmark,Particulates_lt_2.5mcg,Agriculture,
1990,Denmark,Particulates_lt_2.5mcg,Waste,
1990,Denmark,Particulates_lt_2.5mcg,Other,
1990,Denmark,Particulates_lt_10mcg,Total_all_sectors,
1990,Denmark,Particulates_lt_10mcg,Energy_prod_distrib,
1990,Denmark,Particulates_lt_10mcg,Energy_use_industry,
1990,Denmark,Particulates_lt_10mcg,Road_transport,
1990,Denmark,Particulates_lt_10mcg,Non-road_transport,
1990,Denmark,Particulates_lt_10mcg,Commercial_institutes_houses,
1990,Denmark,Particulates_lt_10mcg,Industrial_processes,
1990,Denmark,Particulates_lt_10mcg,Agriculture,
1990,Denmark,Particulates_lt_10mcg,Waste,
1990,Denmark,Particulates_lt_10mcg,Other,
1990,Denmark,Sulphur_oxides,Total_all_sectors,177933.0
1990,Denmark,Sulphur_oxides,Energy_prod_distrib,131128.0
1990,Denmark,Sulphur_oxides,Energy_use_industry,15853.0
1990,Denmark,Sulphur_oxides,Road_transport,5769.0
1990,Denmark,Sulphur_oxides,Non-road_transport,7618.0
1990,Denmark,Sulphur_oxides,Commercial_institutes_houses,12769.0
1990,Denmark,Sulphur_oxides,Industrial_processes,4039.0
1990,Denmark,Sulphur_oxides,Agriculture,10.0
1990,Denmark,Sulphur_oxides,Waste,746.0
1990,Denmark,Sulphur_oxides,Other,0.0
1990,Denmark,Nitrogen_oxides,Total_all_sectors,302890.0
1990,Denmark,Nitrogen_oxides,Energy_prod_distrib,94606.0
1990,Denmark,Nitrogen_oxides,Energy_use_industry,21674.0
1990,Denmark,Nitrogen_oxides,Road_transport,111284.0
1990,Denmark,Nitrogen_oxides,Non-road_transport,27431.0
1990,Denmark,Nitrogen_oxides,Commercial_institutes_houses,21614.0
1990,Denmark,Nitrogen_oxides,Industrial_processes,960.0
1990,Denmark,Nitrogen_oxides,Agriculture,25240.0
1990,Denmark,Nitrogen_oxides,Waste,81.0
1990,Denmark,Nitrogen_oxides,Other,0.0
1990,Estonia,Ammonia,Total_all_sectors,23863.0
1990,Estonia,Ammonia,Energy_prod_distrib,81.0
1990,Estonia,Ammonia,Energy_use_industry,11.0
1990,Estonia,Ammonia,Road_transport,16.0
1990,Estonia,Ammonia,Non-road_transport,0.0
1990,Estonia,Ammonia,Commercial_institutes_houses,319.0
1990,Estonia,Ammonia,Industrial_processes,547.0
1990,Estonia,Ammonia,Agriculture,22887.0
1990,Estonia,Ammonia,Waste,2.0
1990,Estonia,Ammonia,Other,0.0
1990,Estonia,Non-methane_VOCs,Total_all_sectors,65873.0
1990,Estonia,Non-methane_VOCs,Energy_prod_distrib,4237.0
1990,Estonia,Non-methane_VOCs,Energy_use_industry,1280.0
1990,Estonia,Non-methane_VOCs,Road_transport,17556.0
1990,Estonia,Non-methane_VOCs,Non-road_transport,289.0
1990,Estonia,Non-methane_VOCs,Commercial_institutes_houses,5916.0
1990,Estonia,Non-methane_VOCs,Industrial_processes,24709.0
1990,Estonia,Non-methane_VOCs,Agriculture,10674.0
1990,Estonia,Non-methane_VOCs,Waste,1213.0
1990,Estonia,Non-methane_VOCs,Other,0.0
1990,Estonia,Particulates_lt_2.5mcg,Total_all_sectors,
1990,Estonia,Particulates_lt_2.5mcg,Energy_prod_distrib,
1990,Estonia,Particulates_lt_2.5mcg,Energy_use_industry,
1990,Estonia,Particulates_lt_2.5mcg,Road_transport,
1990,Estonia,Particulates_lt_2.5mcg,Non-road_transport,
1990,Estonia,Particulates_lt_2.5mcg,Commercial_institutes_houses,
1990,Estonia,Particulates_lt_2.5mcg,Industrial_processes,
1990,Estonia,Particulates_lt_2.5mcg,Agriculture,
1990,Estonia,Particulates_lt_2.5mcg,Waste,
1990,Estonia,Particulates_lt_2.5mcg,Other,
1990,Estonia,Particulates_lt_10mcg,Total_all_sectors,
1990,Estonia,Particulates_lt_10mcg,Energy_prod_distrib,
1990,Estonia,Particulates_lt_10mcg,Energy_use_industry,
1990,Estonia,Particulates_lt_10mcg,Road_transport,
1990,Estonia,Particulates_lt_10mcg,Non-road_transport,
1990,Estonia,Particulates_lt_10mcg,Commercial_institutes_houses,
1990,Estonia,Particulates_lt_10mcg,Industrial_processes,
1990,Estonia,Particulates_lt_10mcg,Agriculture,
1990,Estonia,Particulates_lt_10mcg,Waste,
